User,Text,Date,Favorites,Retweets,Mentions,HashTags
BarackObama,"Mr. Speaker, the President of the United States:",2013-02-13 02:10:01+00:00,1426,1014,,
BarackObama,"President Obama: “Tonight, thanks to the grit and determination of the American people, there is much progress to report.” #SOTU",2013-02-13 02:17:15+00:00,579,216,,#SOTU
BarackObama,"“After a decade of grinding war, our brave men and women in uniform are coming home.” —President Obama #SOTU",2013-02-13 02:17:58+00:00,1587,551,,#SOTU
BarackObama,"President Obama: “After years of grueling recession, our businesses have created over six million new jobs.” #JobsNow",2013-02-13 02:19:22+00:00,699,252,,#JobsNow
BarackObama,"Obama: “It is our generation’s task ... to reignite the true engine of America’s economic growth—a rising, thriving middle class.” #SOTU",2013-02-13 02:21:26+00:00,709,229,,#SOTU
BarackObama,"“If you work hard and meet your responsibilities; you can get ahead, no matter where you come from, what you look like, or who you love.”",2013-02-13 02:22:47+00:00,5253,1588,,
BarackObama,"Obama: “America moves forward only when we do so together, and that the responsibility of improving this union remains the task of us all.”",2013-02-13 02:24:42+00:00,1237,361,,
BarackObama,"Obama: ""The American people deserve a tax code that helps small businesses spend less time filling out complicated forms."" #JobsNow",2013-02-13 02:30:41+00:00,489,195,,#JobsNow
BarackObama,"President Obama: ""Nothing I’m proposing tonight should increase our deficit by a single dime."" #JobsNow",2013-02-13 02:31:47+00:00,710,252,,#JobsNow
BarackObama,"""It’s not a bigger government we need, but a smarter government that sets priorities and invests in broad-based growth."" #JobsNow",2013-02-13 02:32:27+00:00,1283,418,,#JobsNow
BarackObama,"President Obama: ""Our first priority is making America a magnet for new jobs and manufacturing."" #JobsNow",2013-02-13 02:33:05+00:00,700,225,,#JobsNow
BarackObama,"President Obama: ""After shedding jobs for more than 10 years, our manufacturers have added about 500,000 jobs over the past three."" #JobsNow",2013-02-13 02:34:47+00:00,480,186,,#JobsNow
BarackObama,"FACT: Under President Obama, we have more than doubled production of renewable energy from wind and solar. #MadeInAmerica",2013-02-13 02:37:35+00:00,1006,398,,#MadeInAmerica
BarackObama,"FACT: President Obama is doubling fuel efficiency standards, which will save consumers more than $8,000 at the pump. #MadeInAmerica",2013-02-13 02:38:21+00:00,754,282,,#MadeInAmerica
BarackObama,"Obama: ""Tonight, I propose a “Fix-It-First” program to put people to work as soon as possible on our most urgent repairs."" #JobsNow",2013-02-13 02:40:17+00:00,658,237,,#JobsNow
BarackObama,"President Obama: ""Let’s prove that there is no better place to do business than the United States of America."" #JobsNow",2013-02-13 02:41:53+00:00,952,361,,#JobsNow
BarackObama,"""Tonight, I propose working with states to make high-quality preschool available to every child in America."" #SOTU",2013-02-13 02:43:54+00:00,1840,619,,#SOTU
BarackObama,"Obama: ""To grow our middle class, our citizens must have access to the education and training that today’s jobs require."" #JobsNow",2013-02-13 02:47:39+00:00,1476,425,,#JobsNow
BarackObama,"President Obama: ""The time has come to pass comprehensive #ImmigrationReform.""",2013-02-13 02:48:38+00:00,937,346,,#ImmigrationReform
BarackObama,"""Real reform means strong border security, and we can build on the progress my Administration has already made."" #ImmigrationReform",2013-02-13 02:49:50+00:00,651,394,,#ImmigrationReform
BarackObama,"President Obama: ""Real reform means establishing a responsible pathway to earned citizenship."" #ImmigrationReform",2013-02-13 02:50:51+00:00,686,288,,#ImmigrationReform
BarackObama,"Obama: ""Send me a comprehensive immigration reform bill in the next few months, and I will sign it right away.""",2013-02-13 02:51:41+00:00,967,442,,
BarackObama,"Obama: ""Let’s declare that in the wealthiest nation on Earth, no one who works full-time should have to live in poverty."" #JobsNow",2013-02-13 02:54:04+00:00,3683,1113,,#JobsNow
BarackObama,"President Obama: ""America will complete its mission in Afghanistan and achieve our objective of defeating the core of al Qaeda.""",2013-02-13 02:56:50+00:00,510,238,,
BarackObama,"President Obama: ""By the end of next year, our war in Afghanistan will be over.""",2013-02-13 02:58:15+00:00,3047,1716,,
BarackObama,"President Obama on Iran: ""We will do what is necessary to prevent them from getting a nuclear weapon."" #SOTU",2013-02-13 02:59:49+00:00,487,225,,#SOTU
BarackObama,"""America must remain a beacon to all who seek freedom during this period of historic change."" #SOTU",2013-02-13 03:03:06+00:00,644,266,,#SOTU
